"","Year","Month","Day","Text","Count"
"553",2020,5,23,"cummings",45686
"554",2020,5,23,"donald trump",20299
"555",2020,5,23,"covid",16517
"556",2020,5,24,"trump",62362
"557",2020,5,24,"cummings",41452
"558",2020,5,24,"dominic cummings",24157
"559",2020,5,24,"boris johnson",18237
"560",2020,5,24,"cuomo",16022
"561",2020,5,25,"trump",56465
"562",2020,5,25,"cummings",48509
"563",2020,5,25,"dominic cummings",29525
"564",2020,5,25,"covid",14466
"565",2020,5,25,"boris johnson",12237
"566",2020,5,26,"trump",62266
"567",2020,5,26,"cummings",43551
"568",2020,5,26,"dominic cummings",28570
"569",2020,5,26,"biden",9758
"570",2020,5,26,"covid",9515
"571",2020,5,27,"trump",47816
"572",2020,5,27,"cummings",17047
"573",2020,5,27,"dominic cummings",13917
"574",2020,5,27,"guy",12967
"575",2020,5,27,"cuomo",8651
"576",2020,5,28,"trump",63886
"577",2020,5,28,"cummings",18957
"578",2020,5,28,"dominic cummings",16055
"579",2020,5,28,"twitter",13730
"580",2020,5,28,"leavitt",13632
"581",2020,5,29,"trump",82970
"582",2020,5,29,"donald trump",63220
"583",2020,5,29,"george floyd",29745
"584",2020,5,29,"belly mujinga",22878
"585",2020,5,29,"karl anthony towns",14156
"586",2020,5,30,"donald trump",185219
"587",2020,5,30,"trump",56480
"588",2020,5,30,"george floyd",27616
"589",2020,5,30,"minneapolisriot coronavirus",14914
"590",2020,5,30,"belly mujinga",12315
"591",2020,5,31,"trump",47588
"592",2020,5,31,"donald trump",25378
"593",2020,5,31,"george floyd",13880
"594",2020,5,31,"covid",11419
"595",2020,5,31,"dominic cummings",10035
"596",2020,6,1,"trump",41259
"597",2020,6,1,"covid",22064
"598",2020,6,1,"nick cannon",15058
"599",2020,6,1,"lupus",14959
"600",2020,6,1,"george floyd",13646
"601",2020,6,2,"trump",37837
"602",2020,6,2,"boris johnson",10656
"603",2020,6,2,"george floyd",9168
"604",2020,6,2,"trevor belle",8091
"605",2020,6,2,"covid",6097
"606",2020,6,3,"trump",30108
"607",2020,6,3,"boris johnson",25523
"608",2020,6,3,"rayne valentine",19914
"609",2020,6,3,"belly mujinga",12860
"610",2020,6,3,"alok sharma",10525
"611",2020,6,4,"trump",69798
"612",2020,6,4,"george floyd",35876
"613",2020,6,4,"boris johnson",13309
"614",2020,6,4,"alok sharma",12548
"615",2020,6,4,"george floydâ",10405
"616",2020,6,5,"trump",29639
"617",2020,6,5,"harlan",8176
"618",2020,6,5,"george floyd",7614
"619",2020,6,5,"covid",4914
"620",2020,6,5,"joe biden",3610
"621",2020,6,6,"trump",62636
"622",2020,6,6,"george floyd",10273
"623",2020,6,6,"jimin",6632
"624",2020,6,6,"floyd",6531
"625",2020,6,6,"covid",6446
"626",2020,6,7,"trump",50877
"627",2020,6,7,"god",11971
"628",2020,6,7,"john edmunds",11296
"629",2020,6,7,"george floyd",10074
"630",2020,6,7,"modi",8340
"631",2020,6,8,"trump",55882
"632",2020,6,8,"jacinda ardern",11935
"633",2020,6,8,"george floyd",8312
"634",2020,6,8,"covid",7703
"635",2020,6,8,"allen may",7698
"636",2020,6,9,"trump",83572
"637",2020,6,9,"jared",37689
"638",2020,6,9,"boris johnson",13456
"639",2020,6,9,"allen may",10136
"640",2020,6,9,"george floyd",10037
"641",2020,6,10,"trump",47679
"642",2020,6,10,"fauci",44503
"643",2020,6,10,"neil ferguson",26163
"644",2020,6,10,"donald trump",20868
"645",2020,6,10,"boris johnson",17339
"646",2020,6,11,"trump",95756
"647",2020,6,11,"boris johnson",17595
"648",2020,6,11,"fauci",14132
"649",2020,6,11,"donald trump",12140
"650",2020,6,11,"rory stewart",10339
"651",2020,6,12,"trump",96075
"652",2020,6,12,"donald trump",35625
"653",2020,6,12,"robert fuller",27074
"654",2020,6,12,"dominic cummings",10107
"655",2020,6,12,"boris johnson",9435
"656",2020,6,13,"trump",79315
"657",2020,6,13,"donald trump",27918
"658",2020,6,13,"fauci",24207
"659",2020,6,13,"robert fuller",20175
"660",2020,6,13,"steve scalise",12671
"661",2020,6,14,"trump",36972
"662",2020,6,14,"cuomo",12362
"663",2020,6,14,"biden",8577
"664",2020,6,14,"boris johnson",8576
"665",2020,6,14,"covid",8069
"666",2020,6,15,"trump",72657
"667",2020,6,15,"cuomo",23836
"668",2020,6,15,"donald trump",13605
"669",2020,6,15,"covid",12739
"670",2020,6,15,"bill de blasio",10877
"671",2020,6,16,"trump",75057
"672",2020,6,16,"nigga",74168
"673",2020,6,16,"mike pence",40180
"674",2020,6,16,"greg abbott",20067
"675",2020,6,16,"tom rice",12180
"676",2020,6,17,"trump",81677
"677",2020,6,17,"greg abbott",25003
"678",2020,6,17,"fauci",19500
"679",2020,6,17,"donald trump",17353
"680",2020,6,17,"hillary",16124
"681",2020,6,18,"trump",114780
"682",2020,6,18,"donald trump",23447
"683",2020,6,18,"al sharpton",15101
"684",2020,6,18,"hannity",14316
"685",2020,6,18,"biden",11159
"686",2020,6,19,"trump",109559
"687",2020,6,19,"donald trump",30246
"688",2020,6,19,"schwarzenegger",25374
"689",2020,6,19,"fauci",10994
"690",2020,6,19,"covid",10951
"691",2020,6,20,"trump",205557
"692",2020,6,20,"donald trump",38522
"693",2020,6,20,"covid",19049
"694",2020,6,20,"fauci",13715
"695",2020,6,20,"god",9838
"696",2020,6,21,"trump",331681
"697",2020,6,21,"donald trump",22664
"698",2020,6,21,"covid",19615
"699",2020,6,21,"biden",12610
"700",2020,6,21,"helen whately",11982
"701",2020,6,22,"trump",164412
"702",2020,6,22,"breonna taylor",14982
"703",2020,6,22,"covid",14509
"704",2020,6,22,"donald trump",13140
"705",2020,6,22,"desantis",11432
"706",2020,6,23,"trump",191812
"707",2020,6,23,"novak djokovic",26918
"708",2020,6,23,"fauci",24263
"709",2020,6,23,"god",18925
"710",2020,6,23,"donald trump",18280
"711",2020,6,24,"trump",150874
"712",2020,6,24,"vanessa guillen",50028
"713",2020,6,24,"gustavo",44372
"714",2020,6,24,"kung flu",27966
"715",2020,6,24,"god",20840
"716",2020,6,25,"trump",217845
"717",2020,6,25,"biden",30567
"718",2020,6,25,"joe biden",25302
"719",2020,6,25,"god",19201
"720",2020,6,25,"donald trump",18954
