"","Geo_Location","Date_Created"
"1115332","{type: Point, coordinates: [13.060994, 77.5180425]}","Sun Feb 16 23:16:56 +0000 2020"
"1118230","{type: Point, coordinates: [25.65162, -100.359244]}","Mon Feb 17 00:46:50 +0000 2020"
"1118895","{type: Point, coordinates: [45.63697547, -73.56726563]}","Mon Feb 17 01:15:32 +0000 2020"
"1118902","{type: Point, coordinates: [45.63697547, -73.56726563]}","Mon Feb 17 01:15:33 +0000 2020"
"1118904","{type: Point, coordinates: [45.75975883, -73.56725453]}","Mon Feb 17 01:15:33 +0000 2020"
"1120452","{type: Point, coordinates: [40.71365072, -73.99534831]}","Mon Feb 17 02:01:08 +0000 2020"
"1130780","{type: Point, coordinates: [13.76598429, 100.67705078]}","Mon Feb 17 07:04:05 +0000 2020"
"1130784","{type: Point, coordinates: [13.76598429, 100.67705078]}","Mon Feb 17 07:04:05 +0000 2020"
"1135262","{type: Point, coordinates: [-29.93855527, -51.07643287]}","Mon Feb 17 09:19:32 +0000 2020"
"1148196","{type: Point, coordinates: [8.96389499, 7.42936372]}","Mon Feb 17 15:51:04 +0000 2020"
"1159028","{type: Point, coordinates: [45.75975883, -73.56725453]}","Mon Feb 17 21:09:06 +0000 2020"
"1164499","{type: Point, coordinates: [45.5236111, -122.675]}","Mon Feb 17 23:54:32 +0000 2020"
"1170804","{type: Point, coordinates: [22.28292, 114.1384378]}","Tue Feb 18 03:09:33 +0000 2020"
"1171425","{type: Point, coordinates: [-41.28916835, 174.76889633]}","Tue Feb 18 03:25:06 +0000 2020"
"1171833","{type: Point, coordinates: [8.96389499, 7.42936372]}","Tue Feb 18 03:39:33 +0000 2020"
"1175266","{type: Point, coordinates: [52.232222, 21.008333]}","Tue Feb 18 05:24:50 +0000 2020"
"1182224","{type: Point, coordinates: [53.36853317, -6.28034668]}","Tue Feb 18 08:42:32 +0000 2020"
"1182863","{type: Point, coordinates: [36.15, 22.9925]}","Tue Feb 18 09:11:08 +0000 2020"
"1190236","{type: Point, coordinates: [52.232222, 21.008333]}","Tue Feb 18 12:43:21 +0000 2020"
"1197329","{type: Point, coordinates: [40.7772977, -74.0183555]}","Tue Feb 18 16:14:46 +0000 2020"
"1199293","{type: Point, coordinates: [40.74520918, -73.9768738]}","Tue Feb 18 17:14:44 +0000 2020"
"1202306","{type: Point, coordinates: [55.852472, -4.309626]}","Tue Feb 18 18:45:19 +0000 2020"
"1205303","{type: Point, coordinates: [37.3969713, -5.9786497]}","Tue Feb 18 20:15:35 +0000 2020"
"1208012","{type: Point, coordinates: [52.232222, 21.008333]}","Tue Feb 18 21:46:04 +0000 2020"
"1214373","{type: Point, coordinates: [37.7929728, -122.3958528]}","Wed Feb 19 01:08:05 +0000 2020"
"1216246","{type: Point, coordinates: [13.86200131, 100.65507813]}","Wed Feb 19 02:07:32 +0000 2020"
"1216253","{type: Point, coordinates: [13.86200131, 100.65507813]}","Wed Feb 19 02:07:33 +0000 2020"
"1222600","{type: Point, coordinates: [52.232222, 21.008333]}","Wed Feb 19 05:10:06 +0000 2020"
"1225910","{type: Point, coordinates: [45.63697547, -73.56726563]}","Wed Feb 19 06:54:33 +0000 2020"
"1225913","{type: Point, coordinates: [45.75975883, -73.56725453]}","Wed Feb 19 06:54:33 +0000 2020"
"1225919","{type: Point, coordinates: [45.75975883, -73.56725453]}","Wed Feb 19 06:54:34 +0000 2020"
"1226353","{type: Point, coordinates: [52.232222, 21.008333]}","Wed Feb 19 07:09:16 +0000 2020"
"1228205","{type: Point, coordinates: [-1.28333333, 36.81666667]}","Wed Feb 19 08:26:01 +0000 2020"
"1236340","{type: Point, coordinates: [39.9289, 116.388]}","Wed Feb 19 12:28:23 +0000 2020"
"1239806","{type: Point, coordinates: [37.73465621, -122.38733002]}","Wed Feb 19 14:13:34 +0000 2020"
"1250893","{type: Point, coordinates: [-26.2707593, 28.1122679]}","Thu Feb 20 17:40:06 +0000 2020"
"1254739","{type: Point, coordinates: [38.7764, -77.2735]}","Thu Feb 20 18:44:02 +0000 2020"
"1259646","{type: Point, coordinates: [40.7142, -74.0064]}","Thu Feb 20 20:09:47 +0000 2020"
"1261043","{type: Point, coordinates: [52.232222, 21.008333]}","Thu Feb 20 20:27:16 +0000 2020"
"1271611","{type: Point, coordinates: [51.327557, -0.731411]}","Thu Feb 20 23:27:34 +0000 2020"
"1276070","{type: Point, coordinates: [22.2826, 114.158]}","Fri Feb 21 00:42:59 +0000 2020"
"1293052","{type: Point, coordinates: [37.7485909, -122.4190191]}","Fri Feb 21 05:20:06 +0000 2020"
"1294197","{type: Point, coordinates: [35.6194124, 139.72654974]}","Fri Feb 21 05:36:55 +0000 2020"
"1294473","{type: Point, coordinates: [37.7929728, -122.3958528]}","Fri Feb 21 05:47:02 +0000 2020"
"1307777","{type: Point, coordinates: [45.63697547, -73.56726563]}","Fri Feb 21 09:31:33 +0000 2020"
"1311416","{type: Point, coordinates: [45.75975883, -73.56725453]}","Fri Feb 21 10:32:03 +0000 2020"
"1311731","{type: Point, coordinates: [8.96389499, 7.42936372]}","Fri Feb 21 10:33:33 +0000 2020"
"1311842","{type: Point, coordinates: [38.74751841, -9.09904258]}","Fri Feb 21 10:34:02 +0000 2020"
"1314452","{type: Point, coordinates: [37.7485909, -122.4190191]}","Fri Feb 21 11:19:06 +0000 2020"
"1348326","{type: Point, coordinates: [44.899, 8.2079]}","Fri Feb 21 20:50:31 +0000 2020"
"1350093","{type: Point, coordinates: [51.50711486, -0.12731805]}","Fri Feb 21 21:20:45 +0000 2020"
"1354444","{type: Point, coordinates: [37.7929728, -122.3958528]}","Fri Feb 21 22:25:03 +0000 2020"
"1356394","{type: Point, coordinates: [40.7901926, -111.8789744]}","Fri Feb 21 23:06:49 +0000 2020"
"1357233","{type: Point, coordinates: [45.64834595, 8.77261016]}","Fri Feb 21 23:21:25 +0000 2020"
"1365989","{type: Point, coordinates: [12.90596119, 80.08905682]}","Sat Feb 22 01:40:32 +0000 2020"
"1368609","{type: Point, coordinates: [45.63697547, -73.56726563]}","Sat Feb 22 02:25:33 +0000 2020"
"1376989","{type: Point, coordinates: [8.11305556, 98.31666667]}","Sat Feb 22 04:53:10 +0000 2020"
"1384376","{type: Point, coordinates: [52.232222, 21.008333]}","Sat Feb 22 06:54:49 +0000 2020"
